Any,Id_aforament,Mes,Codi_tipus_dia,Desc_tipus_dia,Valor_IMD
2025,5019,3,1,dilluns,Mesura no disponible
2025,5019,3,2,laborables,Mesura no disponible
2025,5019,3,3,divendres,Mesura no disponible
2025,5019,3,4,dissabte,Mesura no disponible
2025,5019,3,5,diumenge,Mesura no disponible
2025,5019,4,1,dilluns,8158
2025,5019,4,2,laborables,8302
2025,5019,4,3,divendres,9013
2025,5019,4,4,dissabte,6991
2025,5019,4,5,diumenge,5577
2025,5019,5,1,dilluns,8118
2025,5019,5,2,laborables,8578
2025,5019,5,3,divendres,8754
2025,5019,5,4,dissabte,7557
2025,5019,5,5,diumenge,6396
2025,5019,6,1,dilluns,8059
2025,5019,6,2,laborables,8477
2025,5019,6,3,divendres,8965
2025,5019,6,4,dissabte,7678
2025,5019,6,5,diumenge,7272
2025,5019,7,1,dilluns,7963
2025,5019,7,2,laborables,8354
2025,5019,7,3,divendres,8793
2025,5019,7,4,dissabte,6219
2025,5019,7,5,diumenge,5631
2025,5019,8,1,dilluns,6122
2025,5019,8,2,laborables,9678
2025,5019,8,3,divendres,7680
2025,5019,8,4,dissabte,5803
2025,5019,8,5,diumenge,5232
2025,5019,9,1,dilluns,7390
2025,5019,9,2,laborables,7557
2025,5019,9,3,divendres,8007
2025,5019,9,4,dissabte,6282
2025,5019,9,5,diumenge,5030
2025,5019,10,1,dilluns,7435
2025,5019,10,2,laborables,7657
2025,5019,10,3,divendres,7983
2025,5019,10,4,dissabte,6927
2025,5019,10,5,diumenge,5854
2025,5019,11,1,dilluns,6967
2025,5019,11,2,laborables,7341
2025,5019,11,3,divendres,8058
2025,5019,11,4,dissabte,6850
2025,5019,11,5,diumenge,5431
2025,5019,12,1,dilluns,6976
2025,5019,12,2,laborables,7477
2025,5019,12,3,divendres,7712
2025,5019,12,4,dissabte,5921
2025,5019,12,5,diumenge,5520
2025,5020,1,1,dilluns,3232
2025,5020,1,2,laborables,3768
2025,5020,1,3,divendres,3859
2025,5020,1,4,dissabte,3089
2025,5020,1,5,diumenge,3036
2025,5020,2,1,dilluns,2874
2025,5020,2,2,laborables,3615
2025,5020,2,3,divendres,3985
2025,5020,2,4,dissabte,3060
2025,5020,2,5,diumenge,3525
2025,5020,3,1,dilluns,4022
2025,5020,3,2,laborables,3697
2025,5020,3,3,divendres,3452
2025,5020,3,4,dissabte,3422
2025,5020,3,5,diumenge,2712
2025,5020,4,1,dilluns,3278
2025,5020,4,2,laborables,3725
2025,5020,4,3,divendres,3656
2025,5020,4,4,dissabte,3043
2025,5020,4,5,diumenge,2830
2025,5020,5,1,dilluns,3282
2025,5020,5,2,laborables,3939
2025,5020,5,3,divendres,3486
2025,5020,5,4,dissabte,3437
2025,5020,5,5,diumenge,2889
2025,5020,6,1,dilluns,Mesura no disponible
2025,5020,6,2,laborables,Mesura no disponible
2025,5020,6,3,divendres,Mesura no disponible
2025,5020,6,4,dissabte,Mesura no disponible
2025,5020,6,5,diumenge,Mesura no disponible
2025,5020,7,1,dilluns,3113
2025,5020,7,2,laborables,3310
2025,5020,7,3,divendres,3778
2025,5020,7,4,dissabte,2315
2025,5020,7,5,diumenge,2038
2025,5020,8,1,dilluns,2541
2025,5020,8,2,laborables,3114
2025,5020,8,3,divendres,2872
2025,5020,8,4,dissabte,2297
2025,5020,8,5,diumenge,2152
2025,5020,9,1,dilluns,3563
2025,5020,9,2,laborables,3680
2025,5020,9,3,divendres,3796
2025,5020,9,4,dissabte,2617
2025,5020,9,5,diumenge,2623
2025,5020,10,1,dilluns,3933
2025,5020,10,2,laborables,4060
2025,5020,10,3,divendres,4355
2025,5020,10,4,dissabte,4091
2025,5020,10,5,diumenge,2830
2025,5020,11,1,dilluns,3710
2025,5020,11,2,laborables,4187
2025,5020,11,3,divendres,3752
2025,5020,11,4,dissabte,4686
2025,5020,11,5,diumenge,3377
2025,5020,12,1,dilluns,4132
2025,5020,12,2,laborables,3958
2025,5020,12,3,divendres,3882
2025,5020,12,4,dissabte,3520
2025,5020,12,5,diumenge,2727
2025,5024,1,1,dilluns,Mesura no disponible
2025,5024,1,2,laborables,Mesura no disponible
2025,5024,1,3,divendres,Mesura no disponible
2025,5024,1,4,dissabte,Mesura no disponible
2025,5024,1,5,diumenge,Mesura no disponible
2025,5024,2,1,dilluns,Mesura no disponible
2025,5024,2,2,laborables,Mesura no disponible
2025,5024,2,3,divendres,Mesura no disponible
2025,5024,2,4,dissabte,Mesura no disponible
2025,5024,2,5,diumenge,Mesura no disponible
2025,5024,3,1,dilluns,Mesura no disponible
2025,5024,3,2,laborables,Mesura no disponible
2025,5024,3,3,divendres,Mesura no disponible
2025,5024,3,4,dissabte,Mesura no disponible
2025,5024,3,5,diumenge,Mesura no disponible
2025,5024,4,1,dilluns,Mesura no disponible
2025,5024,4,2,laborables,Mesura no disponible
2025,5024,4,3,divendres,Mesura no disponible
2025,5024,4,4,dissabte,Mesura no disponible
2025,5024,4,5,diumenge,Mesura no disponible
2025,5024,5,1,dilluns,Mesura no disponible
2025,5024,5,2,laborables,Mesura no disponible
2025,5024,5,3,divendres,Mesura no disponible
2025,5024,5,4,dissabte,Mesura no disponible
2025,5024,5,5,diumenge,Mesura no disponible
2025,5024,6,1,dilluns,Mesura no disponible
2025,5024,6,2,laborables,Mesura no disponible
2025,5024,6,3,divendres,Mesura no disponible
2025,5024,6,4,dissabte,Mesura no disponible
2025,5024,6,5,diumenge,Mesura no disponible
2025,5024,7,1,dilluns,Mesura no disponible
2025,5024,7,2,laborables,Mesura no disponible
2025,5024,7,3,divendres,Mesura no disponible
2025,5024,7,4,dissabte,Mesura no disponible
2025,5024,7,5,diumenge,Mesura no disponible
2025,5024,8,1,dilluns,Mesura no disponible
2025,5024,8,2,laborables,Mesura no disponible
2025,5024,8,3,divendres,Mesura no disponible
2025,5024,8,4,dissabte,Mesura no disponible
2025,5024,8,5,diumenge,Mesura no disponible
2025,5024,9,1,dilluns,Mesura no disponible
2025,5024,9,2,laborables,Mesura no disponible
2025,5024,9,3,divendres,Mesura no disponible
2025,5024,9,4,dissabte,Mesura no disponible
2025,5024,9,5,diumenge,Mesura no disponible
2025,5024,10,1,dilluns,16726
2025,5024,10,2,laborables,18516
2025,5024,10,3,divendres,19801
2025,5024,10,4,dissabte,15199
2025,5024,10,5,diumenge,14889
2025,5024,11,1,dilluns,15890
2025,5024,11,2,laborables,16619
2025,5024,11,3,divendres,19249
2025,5024,11,4,dissabte,15231
2025,5024,11,5,diumenge,13397
2025,5024,12,1,dilluns,15803
2025,5024,12,2,laborables,17559
2025,5024,12,3,divendres,20121
2025,5024,12,4,dissabte,13958
2025,5024,12,5,diumenge,14296
2025,5025,1,1,dilluns,Mesura no disponible
2025,5025,1,2,laborables,Mesura no disponible
2025,5025,1,3,divendres,Mesura no disponible
2025,5025,1,4,dissabte,Mesura no disponible
2025,5025,1,5,diumenge,Mesura no disponible
2025,5025,2,1,dilluns,Mesura no disponible
2025,5025,2,2,laborables,Mesura no disponible
2025,5025,2,3,divendres,Mesura no disponible
2025,5025,2,4,dissabte,Mesura no disponible
2025,5025,2,5,diumenge,Mesura no disponible
2025,5025,3,1,dilluns,Mesura no disponible
2025,5025,3,2,laborables,Mesura no disponible
2025,5025,3,3,divendres,Mesura no disponible
2025,5025,3,4,dissabte,Mesura no disponible
2025,5025,3,5,diumenge,Mesura no disponible
2025,5025,4,1,dilluns,Mesura no disponible
2025,5025,4,2,laborables,Mesura no disponible
2025,5025,4,3,divendres,Mesura no disponible
2025,5025,4,4,dissabte,Mesura no disponible
2025,5025,4,5,diumenge,Mesura no disponible
2025,5025,5,1,dilluns,Mesura no disponible
2025,5025,5,2,laborables,Mesura no disponible
2025,5025,5,3,divendres,Mesura no disponible
2025,5025,5,4,dissabte,Mesura no disponible
2025,5025,5,5,diumenge,Mesura no disponible
2025,5025,6,1,dilluns,Mesura no disponible
2025,5025,6,2,laborables,Mesura no disponible
2025,5025,6,3,divendres,Mesura no disponible
2025,5025,6,4,dissabte,Mesura no disponible
2025,5025,6,5,diumenge,Mesura no disponible
2025,5025,7,1,dilluns,Mesura no disponible
2025,5025,7,2,laborables,Mesura no disponible
2025,5025,7,3,divendres,Mesura no disponible
2025,5025,7,4,dissabte,Mesura no disponible
2025,5025,7,5,diumenge,Mesura no disponible
2025,5025,8,1,dilluns,Mesura no disponible
2025,5025,8,2,laborables,Mesura no disponible
2025,5025,8,3,divendres,Mesura no disponible
2025,5025,8,4,dissabte,Mesura no disponible
2025,5025,8,5,diumenge,Mesura no disponible
2025,5025,9,1,dilluns,Mesura no disponible
2025,5025,9,2,laborables,Mesura no disponible
2025,5025,9,3,divendres,Mesura no disponible
2025,5025,9,4,dissabte,Mesura no disponible
2025,5025,9,5,diumenge,Mesura no disponible
2025,5025,10,1,dilluns,Mesura no disponible
2025,5025,10,2,laborables,Mesura no disponible
2025,5025,10,3,divendres,Mesura no disponible
2025,5025,10,4,dissabte,Mesura no disponible
2025,5025,10,5,diumenge,Mesura no disponible
2025,5025,11,1,dilluns,19730
2025,5025,11,2,laborables,21329
2025,5025,11,3,divendres,22302
2025,5025,11,4,dissabte,18486
2025,5025,11,5,diumenge,17545
2025,5025,12,1,dilluns,17959
2025,5025,12,2,laborables,18840
2025,5025,12,3,divendres,21539
2025,5025,12,4,dissabte,16662
2025,5025,12,5,diumenge,16256
2025,5026,1,1,dilluns,2942
2025,5026,1,2,laborables,3018
2025,5026,1,3,divendres,3332
2025,5026,1,4,dissabte,3193
