Id_aforament,Desc_aforament,Codi_tipus_aforament,Desc_tipus_aforament,Num_carrils,Codi_districte,Codi_Barri,Codi_tipus_equip_mesura,Desc_tipus_equip_mesura,Longitud,Latitud,X_ETRS89,Y_ETRS89
20270,ARAGÓ - GIRONA  (sentit Llobregat),2,Bicis,1,2,9,1,Espira,2.1697,41.39577,430492.65,4582901.55
20271,ARAGÓ - SICILIA  (sentit Llobregat),2,Bicis,1,2,9,1,Espira,2.17544,41.40005,430977.04,4583372.15
20272,ARAGÓ - MARINA  (sentit baixada),2,Bicis,1,2,9,1,Espira,2.17758386121862,41.4016462121945,431091.82,4583485.43
20273,ARAGÓ - CASTILLEJOS  (sentit Llobregat),2,Bicis,1,2,9,1,Espira,2.18104,41.4043,431449.64,4583839.57
20274,ARAGÓ - CARTAGENA  (sentit Llobregat),2,Bicis,1,2,9,1,Espira,2.18222,41.40518,431549.19,4583936.34
20275,ARAGÓ - PG. SANT JOAN  (sentit Llobregat),2,Bicis,1,2,9,1,Espira,2.17197,41.39746,430684.21,4583087.36
20276,ARAGÓ - VILAMARÍ  (sentit Llobregat),2,Bicis,1,2,9,1,Espira,2.14823,41.3796,428680.03,4581123.69
20278,ARAGÓ - MERIDIANA  (sentit Llobregat),2,Bicis,1,9,63,1,Espira,2.18662,41.408392,431918.68,4584291.51
20279,JOAN XXIII -MENÉNDEZ PELAYO (sentit Besòs),2,Bicis,1,4,20,1,Espira,2.120003,41.38131,426321.45,4581337.16
20280,JOAN XXIII -MARTÍ I FRANQUÉS (Llobregat),2,Bicis,1,4,20,1,Espira,2.12003,41.381324,426323.72,4581338.69
20281,GRAN VIA - CALABRIA (sentit Llobregat),2,Bicis,1,2,9,1,Espira,2.154894,41.379598,429428.42,4581446.32
20282,GRAN VIA - CALABRIA (sentit Besòs),2,Bicis,1,2,9,1,Espira,2.155448,41.379564,429474.71,4581442.07
20283,GRAN VIA -  ROGER DE LLÚRIA(sentit Llobregat),2,Bicis,1,2,7,1,Espira,2.16983,41.390831,430689.28,4582681.3
20284,GRAN VIA -  ROGER DE LLÚRIA - GIR A L'ESQUERRA(sentit Llobregat),2,Bicis,1,2,7,1,Espira,2.169842,41.390826,430690.28,4582680.74
20285,GRAN VIA - PAU CLARIS (sentit Besòs),2,Bicis,1,2,7,1,Espira,2.170231,41.390667,430722.63,4582662.77
20286,GRAN VIA -  PAU CLARIS GIR A L'ESQUERRA (sentit Besòs),2,Bicis,1,2,7,1,Espira,2.171075,41.391311,430793.87,4582733.6
