Municipios,Distritos,Secciones,Índice de Gini y Distribución de la renta P80/P20,Periodo,Total
08019 Barcelona,0801901 Barcelona distrito 01,0801901008 Barcelona sección 01008,Índice de Gini,2016,35.8
08019 Barcelona,0801901 Barcelona distrito 01,0801901008 Barcelona sección 01008,Índice de Gini,2015,36.1
08019 Barcelona,0801901 Barcelona distrito 01,0801901008 Barcelona sección 01008,Distribución de la renta P80/P20,2023,2.7
08019 Barcelona,0801901 Barcelona distrito 01,0801901008 Barcelona sección 01008,Distribución de la renta P80/P20,2022,2.7
08019 Barcelona,0801901 Barcelona distrito 01,0801901008 Barcelona sección 01008,Distribución de la renta P80/P20,2021,2.4
08019 Barcelona,0801901 Barcelona distrito 01,0801901008 Barcelona sección 01008,Distribución de la renta P80/P20,2020,2.9
08019 Barcelona,0801901 Barcelona distrito 01,0801901008 Barcelona sección 01008,Distribución de la renta P80/P20,2019,2.8
08019 Barcelona,0801901 Barcelona distrito 01,0801901008 Barcelona sección 01008,Distribución de la renta P80/P20,2018,3
08019 Barcelona,0801901 Barcelona distrito 01,0801901008 Barcelona sección 01008,Distribución de la renta P80/P20,2017,2.9
08019 Barcelona,0801901 Barcelona distrito 01,0801901008 Barcelona sección 01008,Distribución de la renta P80/P20,2016,3.3
08019 Barcelona,0801901 Barcelona distrito 01,0801901008 Barcelona sección 01008,Distribución de la renta P80/P20,2015,3.2
08019 Barcelona,0801901 Barcelona distrito 01,0801901009 Barcelona sección 01009,Índice de Gini,2023,34.7
08019 Barcelona,0801901 Barcelona distrito 01,0801901009 Barcelona sección 01009,Índice de Gini,2022,36.6
08019 Barcelona,0801901 Barcelona distrito 01,0801901009 Barcelona sección 01009,Índice de Gini,2021,37.7
08019 Barcelona,0801901 Barcelona distrito 01,0801901009 Barcelona sección 01009,Índice de Gini,2020,37.7
08019 Barcelona,0801901 Barcelona distrito 01,0801901009 Barcelona sección 01009,Índice de Gini,2019,36.3
08019 Barcelona,0801901 Barcelona distrito 01,0801901009 Barcelona sección 01009,Índice de Gini,2018,38.5
08019 Barcelona,0801901 Barcelona distrito 01,0801901009 Barcelona sección 01009,Índice de Gini,2017,37.6
08019 Barcelona,0801901 Barcelona distrito 01,0801901009 Barcelona sección 01009,Índice de Gini,2016,38.7
08019 Barcelona,0801901 Barcelona distrito 01,0801901009 Barcelona sección 01009,Índice de Gini,2015,36.8
08019 Barcelona,0801901 Barcelona distrito 01,0801901009 Barcelona sección 01009,Distribución de la renta P80/P20,2023,2.8
08019 Barcelona,0801901 Barcelona distrito 01,0801901009 Barcelona sección 01009,Distribución de la renta P80/P20,2022,3.1
08019 Barcelona,0801901 Barcelona distrito 01,0801901009 Barcelona sección 01009,Distribución de la renta P80/P20,2021,3.5
08019 Barcelona,0801901 Barcelona distrito 01,0801901009 Barcelona sección 01009,Distribución de la renta P80/P20,2020,3.5
08019 Barcelona,0801901 Barcelona distrito 01,0801901009 Barcelona sección 01009,Distribución de la renta P80/P20,2019,3.5
08019 Barcelona,0801901 Barcelona distrito 01,0801901009 Barcelona sección 01009,Distribución de la renta P80/P20,2018,3.7
08019 Barcelona,0801901 Barcelona distrito 01,0801901009 Barcelona sección 01009,Distribución de la renta P80/P20,2017,3.5
08019 Barcelona,0801901 Barcelona distrito 01,0801901009 Barcelona sección 01009,Distribución de la renta P80/P20,2016,4.1
08019 Barcelona,0801901 Barcelona distrito 01,0801901009 Barcelona sección 01009,Distribución de la renta P80/P20,2015,3.4
08019 Barcelona,0801901 Barcelona distrito 01,0801901010 Barcelona sección 01010,Índice de Gini,2023,34.2
08019 Barcelona,0801901 Barcelona distrito 01,0801901010 Barcelona sección 01010,Índice de Gini,2022,33.2
08019 Barcelona,0801901 Barcelona distrito 01,0801901010 Barcelona sección 01010,Índice de Gini,2021,34.1
08019 Barcelona,0801901 Barcelona distrito 01,0801901010 Barcelona sección 01010,Índice de Gini,2020,36.3
08019 Barcelona,0801901 Barcelona distrito 01,0801901010 Barcelona sección 01010,Índice de Gini,2019,35.5
08019 Barcelona,0801901 Barcelona distrito 01,0801901010 Barcelona sección 01010,Índice de Gini,2018,34.7
08019 Barcelona,0801901 Barcelona distrito 01,0801901010 Barcelona sección 01010,Índice de Gini,2017,34.9
08019 Barcelona,0801901 Barcelona distrito 01,0801901010 Barcelona sección 01010,Índice de Gini,2016,33.7
08019 Barcelona,0801901 Barcelona distrito 01,0801901010 Barcelona sección 01010,Índice de Gini,2015,35.5
08019 Barcelona,0801901 Barcelona distrito 01,0801901010 Barcelona sección 01010,Distribución de la renta P80/P20,2023,2.8
08019 Barcelona,0801901 Barcelona distrito 01,0801901010 Barcelona sección 01010,Distribución de la renta P80/P20,2022,2.8
